,subjects
IC171015A,"['SUBJECT: IceCube-171015A - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: INTEGRAL SPI-ACS observation of IceCube-171015A', 'SUBJECT: Search for counterpart to IceCube-171015A with ANTARES', 'SUBJECT: Fermi GBM Observations of IceCube-171015A', 'SUBJECT: IceCube-171015A: Konus-Wind upper limits']"
IC171028A,[]
IC171106A,"['SUBJECT: IceCube-171106A - IceCube observation of a high-energy neutrino candidate', 'SUBJECT: INTEGRAL observation of IceCube-171106A', 'SUBJECT: HAWC follow-up of IceCube-171106A', 'SUBJECT: IceCube-171106A: Swift Observations', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-171106A', 'SUBJECT: INTEGRAL pointed follow-up of IceCube-171106A', 'SUBJECT: Pan-STARRS follow-up of IceCube-171106A', 'SUBJECT: IceCube-171106A: Konus-Wind upper limits', 'SUBJECT: IceCube-171106A: MASTER optical observation ']"
IC180423A,[]
IC180908A,"['SUBJECT: IceCube-180908A - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: Search for counterpart to IceCube-180908A with ANTARES ', 'SUBJECT: IceCube-180908A: HAWC follow-up', 'SUBJECT: Search for counterparts to IceCube-180908A with IceCube', 'SUBJECT: INTEGRAL observation of IceCube-180908A', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-180908A', 'SUBJECT: IceCube-180908A: CALET Gamma-Ray Burst Monitor upper limits']"
IC181014A,"['SUBJECT: IceCube-181014A - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-181014A', 'SUBJECT: Search for counterparts to IceCube-181014A with IceCube', 'SUBJECT: Fermi GBM Observation of IceCube-181014A ']"
IC181023A,"['SUBJECT: IceCube-181023A - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-181023A', 'SUBJECT: Search for counterparts to IceCube-181023A with IceCube', 'SUBJECT: IceCube-181023A:  MASTER Net optical alert and follow up observations', 'SUBJECT: IceCube-181023A: HAWC follow-up', 'SUBJECT: FACT follow-up of IceCube20181023A']"
IC181031A,['SUBJECT: IceCube-181031A retraction']
IC190104A,"['SUBJECT: IceCube-190104A - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: Fermi LAT Gamma-ray Observations of IceCube-190104A', 'SUBJECT: IceCube-190104A: MASTER optical observation', 'SUBJECT: Search for counterpart to IceCube-190104A with ANTARES', 'SUBJECT: Search for Counterparts to IceCube-190104A with IceCube', 'SUBJECT: Fermi GBM Observations of IceCube-190104A', 'SUBJECT: IceCube-190104A: Swift-XRT observations', 'SUBJECT: IceCube-190104A: AstroSat CZTI counterpart search', 'SUBJECT: INTEGRAL observation of IceCube-190104A']"
IC190124A,"['SUBJECT: IceCube-190124A - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-190124A', 'SUBJECT: Search for counterpart to IceCube-190124A with ANTARES', 'SUBJECT: Search for counterparts to IceCube-190124A with IceCube', 'SUBJECT: INTEGRAL observation of IceCube-190124A', 'SUBJECT: Fermi GBM Observations of IceCube-190124A']"
IC190205A,[]
IC190221A,"['SUBJECT: IceCube-190221A - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-190221A: MASTER Global Robotic Net optical observation', 'SUBJECT: Fermi-GBM Observations of IceCube-190221A', 'SUBJECT: IceCube-190221A: Fermi-LAT Gamma-ray observations', 'SUBJECT: IceCube-190221A: Swift-XRT Follow-up Observations', 'SUBJECT: Search for additional neutrino events from the direction of IceCube-190221A with IceCube', 'SUBJECT: INTEGRAL observation of IceCube-190221A']"
IC190331A,"['SUBJECT: IceCube-190331A - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-190331A: MASTER optical follow-up observations ', 'SUBJECT: Search for additional neutrino events from the direction of IceCube-190331A with IceCube', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-190331A', 'SUBJECT: IceCube-190331A: Swift-XRT Follow-up Observations']"
IC190503A,"['SUBJECT: IceCube-190503A - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-190503A: INTEGRAL prompt observation', 'SUBJECT: Fermi-GBM Observations of IceCube-190503A', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-190503A', 'SUBJECT: IceCube-190503A: Insight-HXMT/HE observation', 'SUBJECT: IceCube-190503A: Lick/KAIT Follow-Up Observations', 'SUBJECT: IceCube-190503A: Insight-HXMT/HE observation', 'SUBJECT: IceCube-190503A: Swift-XRT Follow-up Observations', 'SUBJECT: Search for additional neutrino events from the direction of IceCube-190503A with IceCube']"
IC190504A,"['SUBJECT: IceCube-190504A - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-190504A: MASTER optical follow-up observations ', 'SUBJECT: Search for counterpart to IceCube-190504A with ANTARES ', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-190504A', 'SUBJECT: IceCube-190504A: Swift-XRT Follow-up Observations', 'SUBJECT: IceCube-190504A: Insight-HXMT/HE observation', 'SUBJECT: Search for additional neutrino events from the direction of IceCube-190504A with IceCube', 'SUBJECT: IceCube-190504A: MASTER optical monitoring analysis', 'SUBJECT: IceCube-190504A: Kanata optical/NIR follow-up observations']"
IC190529A,[]
IC190619A,"['SUBJECT: IceCube-190619A - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-190619A: not observable by Fermi-GBM', 'SUBJECT: IceCube-190619A: No counterpart candidates in INTEGRAL SPI-ACS and IBIS prompt observation', 'SUBJECT: IceCube-190619A - HAWC follow-up', 'SUBJECT: IceCube-190619A: IceCube additional correlated neutrino search: upper limits', 'SUBJECT: IceCube-190619A: No counterpart candidates in ANTARES data', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-190619A', 'SUBJECT: IceCube-190619A: prompt emission upper limits from AstroSat-CZTI']"
IC190629A,"['SUBJECT: IceCube-190629A - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-190629A: Upper limits from Fermi-GBM Observations', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-190629A']"
IC190704A,"['SUBJECT: IceCube-190704A - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-190704A: not observable by Fermi-GBM', 'SUBJECT: LIGO/Virgo IceCube-190704A: No counterpart candidates in INTEGRAL SPI- ACS and IBIS prompt observation', 'SUBJECT: IceCube-190704A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-190704A and detection of the new gamma-ray source 1WHSP J104516.2+275133 ', 'SUBJECT: IceCube-190704A: Upper limits from Insight-HXMT/HE observations', 'SUBJECT: IceCube-190704A - HAWC follow-up']"
IC190712A,"['SUBJECT: IceCube-190712A - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-190712A: No counterpart candidates in INTEGRAL SPI-ACS and IBIS prompt observation', 'SUBJECT: IceCube-190712A: Upper limits from Fermi-GBM Observations', 'SUBJECT: IceCube-190712A: No neutrino counterpart candidates in ANTARES search', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-190712A', 'SUBJECT: IceCube-190712A : Upper limits from Insight-HXMT/HE observations', 'SUBJECT: IceCube-190712A: Upper limits from a search for additional neutrino events in IceCube']"
IC190730A,"['SUBJECT: IceCube-190730A - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-190730A: MASTER optical observation', 'SUBJECT: IceCube 190730A: one weakly associated counterpart candidates in INTEGRAL SPI-ACS, and IBIS prompt observation', 'SUBJECT: IceCube 190730A: not observable by Fermi-GBM', 'SUBJECT: IceCube-190730A - HAWC follow-up', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-190730A', 'SUBJECT: IceCube-190730A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: IceCube 190730A: No counterpart candidates or blazar activity in GOTO observations']"
IC190819A,"['SUBJECT: IceCube-190819A - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-190819A: No counterpart candidates in INTEGRAL SPI-ACS prompt observation', 'SUBJECT: IceCube-190819A: Upper limits from Fermi-GBM Observations', 'SUBJECT: IceCube-190819A - HAWC follow-up', 'SUBJECT: IceCube-190819A: MASTER analysis ', 'SUBJECT: IceCube-190819A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-190819A']"
IC190922A,"['SUBJECT: IceCube-190922A - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-190922A: No counterpart candidates in INTEGRAL SPI-ACS prompt observation', 'SUBJECT: IceCube-190922A - HAWC follow-up', 'SUBJECT: IceCube-190922A: Upper limits from Fermi-GBM Observations', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-190922A ', 'SUBJECT: IceCube-190922A: Upper limits from a search for additional neutrino events in IceCube']"
IC190922B,"['SUBJECT: IceCube-190922B - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-190922B: Upper limits from Fermi-GBM Observations', 'SUBJECT: IceCube-190922B: INTEGRAL was inactive at the time of the event', 'SUBJECT: IceCube-190922B: Identification of a Candidate Supernova from the Zwicky Transient Facility', 'SUBJECT: IceCube-190922B - HAWC follow-up', 'SUBJECT: IceCube-190922B: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-190922B']"
IC191001A,"['SUBJECT: IceCube-191001A - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-191001A: No counterpart candidates in INTEGRAL SPI-ACS prompt observation', 'SUBJECT: IceCube-191001A: Not observable by Fermi-GBM', 'SUBJECT: IceCube-191001A: Candidate Counterparts with the Zwicky Transient Facility', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-191001A', 'SUBJECT: IceCube-191001A: HAWC follow-up', 'SUBJECT: FACT follow-up of IceCube-191001A']"
IC191119A,"['SUBJECT: IceCube-191119A - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-191119A - No counterpart candidates in INTEGRAL SPI-ACS prompt observation', 'SUBJECT: IceCube-191119A: Upper limits from Fermi-GBM Observations', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-191119A', 'SUBJECT: IceCube-191119A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: IceCube-191119A: No neutrino counterpart candidates in ANTARES search', 'SUBJECT: IceCube-191119A: No significant detection in HAWC']"
IC191122A,"['SUBJECT: IceCube-191122A - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-191122A: Global MASTER-Net observations report', 'SUBJECT: IceCube-191122A: INTEGRAL was inactive at the time of the event', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-191122A', 'SUBJECT: IceCube-191122A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: IceCube-191122A: Not observable by Fermi-GBM', 'SUBJECT: IceCube-191122A: No significant detection in HAWC']"
IC191204A,"['SUBJECT: IceCube-191204A: No counterpart candidates in INTEGRAL SPI-ACS prompt observation', 'SUBJECT: IceCube-191204A - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube Alert 191204.95: Global MASTER-Net observations report ', 'SUBJECT: IceCube-191204A: Upper limits from Fermi-GBM Observations ', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-191204A', 'SUBJECT: IceCube-191204A: No significant detection in HAWC', 'SUBJECT: IceCube-191204A : Upper limits from Insight-HXMT/HE observations']"
IC191215A,"['SUBJECT: IceCube Alert 191215.47: Global MASTER-Net observations report ', 'SUBJECT: IceCube-191215A - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-191215A: No counterpart candidates in INTEGRAL SPI-ACS prompt observation', 'SUBJECT: IceCube-191215A: not observable by Fermi-GBM', 'SUBJECT: IceCube-191215A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-191215A']"
IC191231A,"['SUBJECT: IceCube Alert 191231.46: Global MASTER-Net observations report ', 'SUBJECT: IceCube-191231A: IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-191231A: No counterpart candidates in INTEGRAL SPI-ACS and IBIS prompt observation', 'SUBJECT: IceCube-191231A: Upper limits from Fermi-GBM Observations', 'SUBJECT: IceCube-191231A: No Neutrino Counterpart in ANTARES data', 'SUBJECT: IceCube-191231A: No significant detection in HAWC', 'SUBJECT: IceCube-191231A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-191231A']"
IC200107A,"['SUBJECT: IceCube-200107A: IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-200107A: Upper limits from Fermi-GBM Observations', 'SUBJECT: IceCube-200107A: No counterpart candidates in INTEGRAL SPI-ACS prompt observation ', 'SUBJECT: IceCube-200107A: No candidates from the Zwicky Transient Facility', 'SUBJECT: IceCube-200107A: No significant detection in HAWC', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-200107A', 'SUBJECT: Swift follow-up observations of IceCube-200107A: Identification of X-ray high state for 4FGL J0955.1+3551', 'SUBJECT: IceCube-200107A: Upper limits from a search for additional neutrino events in IceCube']"
IC200109A,"['SUBJECT: IceCube Alert 200109.99: Global MASTER-Net observations report ', 'SUBJECT: IceCube Alert 200109.99: Global MASTER-Net observations report ', 'SUBJECT: IceCube-200109A: IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-200109A: Upper limits from Fermi-GBM Observations', 'SUBJECT: IceCube-200109A: INTEGRAL was inactive at the time of the event', 'SUBJECT: IceCube-200109A: Swift-XRT and UVoT Follow-up Observations', 'SUBJECT: IceCube-200109A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: IceCube 200109A: No significant detection in HAWC', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-200109A and detection of a possible new gamma-ray source, Fermi J1055.8+1034', 'SUBJECT: IceCube-200109A: Candidate Counterparts from the Zwicky Transient Facility']"
IC200117A,"['SUBJECT: IceCube Alert 200117.46: Global MASTER-Net observations report ', 'SUBJECT: IceCube-200117A: IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-200117A: no counterpart candidates in INTEGRAL SPI-ACS and,IBIS prompt observation', 'SUBJECT: IceCube-200117A: Upper limits from Fermi-GBM Observations', 'SUBJECT: IceCube-200117A: No Neutrino Counterpart in ANTARES data', 'SUBJECT: IceCube-200117A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: IceCube-200117A: Candidate Counterpart from the Zwicky Transient Facility', 'SUBJECT: IceCube-200117A : Upper limits from Insight-HXMT/HE observations', 'SUBJECT: IceCube-200117A: One Additional Candidate Counterpart from the Zwicky Transient Facility', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-200117A', 'SUBJECT: IceCube 200117A: No significant detection in HAWC']"
IC200120A,"['SUBJECT: IceCube Alert 200120.78: Global MASTER-Net observations report ', 'SUBJECT: IceCube-200120A: IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-200120A: not observable by Fermi-GBM', 'SUBJECT: IceCube-200120A: no counterpart candidates in INTEGRAL SPI-ACS and,IBIS prompt observation', 'SUBJECT: IceCube-200120A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-200120A', 'SUBJECT: IceCube-200120A: Event likely due to background']"
IC200227A,"['SUBJECT: IceCube-200227A: IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-200227A: No counterpart candidates in INTEGRAL SPI-ACS and IBIS prompt observation', 'SUBJECT: IceCube-200227A: Upper limits from Fermi-GBM Observations', 'SUBJECT: IceCube-200227A : Upper limits from Insight-HXMT/HE observations', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-200227A', 'SUBJECT: IceCube-200227A: Upper limits from a search for additional neutrino events in IceCube']"
IC200410A,"['SUBJECT: IceCube Alert 200410.97: Global MASTER-Net observations report ', 'SUBJECT: IceCube-200410A - IceCube observation of a high-energy neutrino candidate event   ', 'SUBJECT: IceCube-200410A: Possible associated excess in INTEGRAL SPI-ACS prompt observation', 'SUBJECT: IceCube-200410A: Upper limits from Fermi-GBM Observations', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-200410A', 'SUBJECT: IceCube-200410A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: IceCube-200410A : Upper limits from Insight-HXMT/HE observations', 'SUBJECT: IceCube-200410A: No significant detection in HAWC']"
IC200421A,"['SUBJECT: IceCube-200421A - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-200421A: No counterpart candidates in INTEGRAL SPI-ACS and IBIS prompt observation', 'SUBJECT: IceCube Alert 200421.02: Global MASTER-Net observations report ', 'SUBJECT: IceCube-200421A: not observable by Fermi-GBM', 'SUBJECT: IceCube-200421A: No significant detection in HAWC', 'SUBJECT: IceCube-200421A: No Neutrino Counterpart in ANTARES data', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-200421A', 'SUBJECT: IceCube-200421A: Upper limits from a search for additional neutrino events in IceCube']"
IC200425A,"['SUBJECT: IceCube Alert 200425.98: Global MASTER-Net observations report ', 'SUBJECT: IceCube-200425A - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-200425A: No counterpart candidates in INTEGRAL SPI-ACS prompt observation', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-200425A', 'SUBJECT: IceCube-200425A: Upper limits from Fermi-GBM Observations', 'SUBJECT: IceCube-200425A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: IceCube-200425A: No significant detection in HAWC']"
IC200512A,"['SUBJECT: IceCube-200512A: IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-200512A: No counterpart candidates in INTEGRAL SPI-ACS prompt observation', 'SUBJECT: IceCube-200512A: No Candidate Counterparts from the Zwicky Transient Facility', 'SUBJECT: IceCube Alert 200512.31: Global MASTER-Net observations report ', 'SUBJECT: IceCube-200512A: not observable by Fermi-GBM ', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-200512A', 'SUBJECT: IceCube-200512A: Upper limits from a search for additional neutrino events in IceCube']"
IC200523A,"['SUBJECT: IceCube-200523A - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube Alert 200523.10: Global MASTER-Net observations report ', 'SUBJECT: IceCube-200523A: Upper limits from Fermi-GBM Observations', 'SUBJECT: IceCube-200523A: Upper limits from a search for additional neutrino events in IceCube']"
IC200530A,"['SUBJECT: IceCube-200530A - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-200530A: No counterpart candidates in INTEGRAL SPI-ACS prompt observation', 'SUBJECT: IceCube Alert 200530.33: Global MASTER-Net observations report ', 'SUBJECT: IceCube-200530A: No ANTARES neutrino counterpart', 'SUBJECT: IceCube-200530A: Candidate Counterparts from the Zwicky Transient Facility', 'SUBJECT: IceCube-200530A: No significant detection in HAWC', 'SUBJECT: IceCube-200530A: not observable by Fermi-GBM', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-200530A', 'SUBJECT: IceCube-200530A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: IceCube-200530A - SN2020lam classified as SN II without evidence of CSM interaction', 'SUBJECT: IceCube-200530A - SN2020lls likely unrelated']"
IC200614A,"['SUBJECT: IceCube-200614A - IceCube observation of a high-energy neutrino candidate track-like event', 'SUBJECT: IceCube Alert 200614.53: Global MASTER-Net observations report ', 'SUBJECT: IceCube-200614A: No counterpart candidates in INTEGRAL SPI-ACS prompt observation  ', 'SUBJECT: IceCube-200614A: not observable by Fermi-GBM', 'SUBJECT: IceCube-200614A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-200614A and detection of a new gamma-ray source, Fermi J0202.8+3132', 'SUBJECT: IceCube-200614A: No significant detection in HAWC']"
IC200615A,"['SUBJECT: IceCube-200615A: IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube Alert 200615.62: Global MASTER-Net observations report ', 'SUBJECT: IceCube-200615A: No counterpart candidates in INTEGRAL SPI-ACS prompt observation', 'SUBJECT: IceCube-200615A: Upper limits from Fermi-GBM Observations', 'SUBJECT: IceCube-200615A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-200615A', 'SUBJECT: IceCube-200615A: No significant detection in HAWC', 'SUBJECT: Swift-XRT observations of IceCube 200615A', 'SUBJECT: Swift/UVOT Observations of IceCube 200615A']"
IC200620A,"['SUBJECT: IceCube-200620A - IceCube observation of a high-energy neutrino candidate track-like event', 'SUBJECT: IceCube Alert 200620.13: Global MASTER-Net observations report ', 'SUBJECT: IceCube-200620A: No ANTARES neutrino counterpart ', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-200620A', 'SUBJECT: IceCube-200620A: One Candidate Counterpart from the Zwicky Transient Facility', 'SUBJECT: IceCube-200620A: not observable by Fermi-GBM', 'SUBJECT: IceCube-200620A: MASTER previous detection of ZTF20abgvabi/AT2020ncr', 'SUBJECT: IceCube-200620A: INTEGRAL was inactive at the time of the event', 'SUBJECT: IceCube-200620A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: IceCube-200620A: No significant detection in HAWC']"
IC200728A,['SUBJECT: IceCube Alert 200728.35: Global MASTER-Net observations report ']
IC200806A,"['SUBJECT: IceCube Alert 200806.58: Global MASTER-Net observations report ', 'SUBJECT: IceCube-200806A: IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-200806A: Upper limits from Fermi-GBM Observations', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-200806A ', 'SUBJECT: IceCube-200806A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: IceCube200806A: No significant detection in HAWC', 'SUBJECT: IceCube-200806A: No counterpart candidates in INTEGRAL SPI-ACS and IBIS prompt observation']"
IC200911A,"['SUBJECT: IceCube-200911A: IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-200911A: not observable by Fermi-GBM', 'SUBJECT: IceCube-200911A: No counterpart candidates in INTEGRAL SPI-ACS and IBIS prompt observation', 'SUBJECT: IceCube Alert 200911.60: Global MASTER-Net observations report ', 'SUBJECT: IceCube-200911A: No neutrino counterpart candidates in ANTARES search', 'SUBJECT: IceCube-200911A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-200911A and detection of a new gamma-ray source, Fermi J0330.1+3743', 'SUBJECT: IceCube-200911A: No significant detection in HAWC', 'SUBJECT: Swift-XRT observations of IceCube 200911A']"
IC200916A,"['SUBJECT: IceCube-200916A - IceCube observation of a high-energy neutrino candidate track-like event', 'SUBJECT: IceCube Alert 200916.86: Global MASTER-Net observations report ', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-200916A', 'SUBJECT: IceCube-200916A: Upper limits from Fermi-GBM Observations', 'SUBJECT: IceCube-200916A: Two Candidate Counterparts from the Zwicky Transient Facility', 'SUBJECT: IceCube-200916A: No counterpart candidates in INTEGRAL SPI-ACS and IBIS prompt observation', 'SUBJECT: IceCube-200916A: No neutrino counterpart candidates in ANTARES search', 'SUBJECT: IceCube-200916A: No significant detection in HAWC', 'SUBJECT: Swift-XRT observations of IceCube 200916A', 'SUBJECT: IceCube-200916A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: IceCube-200916A: AbAO observations of optical candidates ZTF20acaapwk/AT2020tno, ZTF20acaapwo/AT2020tnp', 'SUBJECT: IceCube-200916A - ZTF20acaapwk/SN2020tno classified as SN Ia']"
IC200921A,"['SUBJECT: IceCube-200921A: IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-200921A: Upper limits from Fermi-GBM Observations', 'SUBJECT: IceCube-200921A: No counterpart candidates in INTEGRAL SPI-ACS and IBIS prompt observation', 'SUBJECT: IceCube-200921A: no significant detection in HAWC observations', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-200921A and detection of a new gamma-ray source, Fermi J1256.9+2630', 'SUBJECT: IceCube-200921A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: IceCube Alert 200921.80: Global MASTER-Net observations report ']"
